id,label
2,truck
3,truck
4,deer
5,automobile
6,automobile
8,horse
10,cat
12,horse
13,horse
14,bird
15,truck
16,truck
17,truck
21,deer
22,cat
24,frog
27,cat
30,airplane
31,airplane
32,truck
33,automobile
34,cat
36,airplane
37,cat
40,cat
42,bird
44,horse
45,automobile
46,automobile
47,automobile
49,bird
50,airplane
51,truck
53,horse
54,truck
57,dog
59,deer
60,cat
61,automobile
62,automobile
64,bird
65,automobile
66,automobile
68,truck
69,horse
72,truck
74,horse
75,cat
77,truck
78,airplane
79,cat
81,cat
86,horse
87,deer
88,horse
89,truck
92,cat
93,ship
94,airplane
97,automobile
98,automobile
101,ship
102,cat
103,truck
104,frog
105,frog
106,automobile
109,bird
110,truck
111,truck
114,horse
115,horse
116,airplane
117,airplane
118,frog
119,truck
120,automobile
121,bird
122,bird
123,truck
127,automobile
128,truck
130,airplane
131,deer
132,horse
134,horse
136,ship
137,automobile
138,automobile
139,bird
140,ship
141,automobile
144,frog
147,truck
148,truck
151,cat
153,horse
160,cat
161,automobile
164,horse
165,frog
166,airplane
167,truck
169,automobile
171,ship
172,bird
173,horse
175,cat
176,deer
177,automobile
179,horse
180,airplane
182,horse
183,dog
185,automobile
186,airplane
187,truck
188,frog
189,truck
190,airplane
192,horse
193,ship
194,ship
197,bird
198,cat
200,airplane
201,frog
202,automobile
203,truck
204,cat
206,truck
207,automobile
208,cat
209,truck
210,frog
211,frog
214,airplane
215,truck
217,ship
220,truck
221,airplane
224,airplane
225,frog
226,truck
227,automobile
228,automobile
229,frog
230,cat
231,horse
233,frog
234,airplane
235,frog
237,automobile
238,horse
239,automobile
241,ship
243,frog
244,frog
245,ship
246,frog
247,ship
248,deer
249,frog
250,frog
251,automobile
253,ship
254,cat
256,automobile
257,horse
258,automobile
259,cat
260,ship
264,deer
265,airplane
266,truck
267,cat
269,deer
270,truck
271,truck
272,bird
273,deer
274,truck
275,truck
276,automobile
277,airplane
279,truck
280,airplane
281,ship
284,bird
285,airplane
288,cat
290,horse
291,ship
294,airplane
295,horse
296,truck
297,deer
298,dog
300,deer
301,bird
302,automobile
303,automobile
304,bird
305,automobile
307,truck
308,truck
309,airplane
310,ship
314,frog
315,cat
316,cat
317,truck
318,airplane
319,horse
320,truck
321,horse
322,horse
323,truck
324,automobile
326,automobile
327,frog
330,horse
331,automobile
333,airplane
334,cat
335,cat
339,horse
341,truck
342,airplane
345,airplane
346,deer
347,deer
348,frog
349,airplane
350,airplane
351,frog
353,airplane
356,frog
358,truck
359,bird
361,truck
362,frog
363,horse
365,automobile
366,ship
368,cat
369,frog
370,truck
371,cat
372,airplane
374,airplane
376,automobile
377,airplane
382,deer
383,horse
384,bird
385,cat
386,truck
387,horse
389,horse
392,horse
